,term1,term2,freq
305,biden,trump,1
306,emails,trump,1
307,phishing,trump,1
308,staffers,trump,1
309,targeted,trump,1
310,apt,biden,1
311,charges,phishing,1
312,apt,emails,1
313,apt,phishing,1
314,apt,staffers,1
315,apt,targeted,1
316,apt,campaign,1
317,apt,trump,1
318,charges,politicians,1
319,phishing,politicians,1
320,doj,woman,1
321,island,woman,1
322,scheme,woman,1
323,librarian,silent,1
324,emails,silent,1
325,credentials,emails,1
326,emails,student,1
327,emails,hook,1
328,phishing,silent,1
329,credentials,phishing,1
330,phishing,student,1
331,hook,phishing,1
332,credentials,librarian,1
333,credentials,hook,1
334,librarian,student,1
335,hook,librarian,1
336,emails,librarian,1
337,librarian,phishing,1
338,retools,silent,1
339,credentials,retools,1
340,retools,student,1
341,hook,retools,1
342,hook,student,1
343,hook,silent,1
344,attack,dating,1
345,adult,hit,1
346,dating,phishing,1
347,adult,dating,1
348,adult,attack,1
349,adult,phishing,1
350,dating,spear,1
351,adult,spear,1
352,dating,hit,1
353,attack,hit,1
354,hit,spear,1
355,credentials,student,1
356,dating,universities,1
357,attack,universities,1
358,phishing,universities,1
359,adult,universities,1
360,spear,universities,1
361,hit,universities,1
362,credentials,silent,1
363,silent,student,1
364,hit,scam,1
